"Date","BTC-USD","ETH-USD","LTC-USD","XRP-USD","ADA-USD","TSLA","AAPL","AMZN","MSFT","PG"
"2020-08-06 08:00:00",11779.773438,394.961945,59.164265,0.303584,0.144048,99.305336,113.902496,161.25,216.350006,132.710007
"2020-08-07 08:00:00",11601.472656,379.512848,57.245533,0.294664,0.139155,96.847336,111.112503,158.373001,212.479996,133.550003
"2020-08-08 08:00:00",11754.045898,393.987366,58.129208,0.294022,0.145781,NA,NA,NA,NA,NA
"2020-08-09 08:00:00",11675.739258,391.120453,57.13903,0.288653,0.145244,NA,NA,NA,NA,NA
"2020-08-10 08:00:00",11878.111328,395.887573,58.288845,0.294659,0.143855,94.571335,112.727501,157.408005,208.25,134.100006
"2020-08-11 08:00:00",11410.525391,380.384064,54.386845,0.284449,0.137436,91.625999,109.375,154.033493,203.380005,133.229996
"2020-08-12 08:00:00",11584.93457,391.02417,54.968586,0.28493,0.137398,103.650665,113.010002,158.112,209.190002,135.460007
"2020-08-13 08:00:00",11784.137695,428.741791,57.741318,0.297807,0.141245,108.066666,115.010002,158.050995,208.699997,135.779999
"2020-08-14 08:00:00",11768.871094,437.397827,56.753124,0.300371,0.138338,110.047333,114.907501,157.401001,208.899994,135.100006
"2020-08-15 08:00:00",11865.698242,433.354919,59.927811,0.299661,0.138303,NA,NA,NA,NA,NA
"2020-08-16 08:00:00",11892.803711,433.786621,63.826542,0.303492,0.138471,NA,NA,NA,NA,NA
"2020-08-17 08:00:00",12254.402344,429.53125,67.028038,0.314767,0.14092,122.375999,114.607498,159.120499,210.279999,135.5
"2020-08-18 08:00:00",11991.233398,423.669312,65.527534,0.303307,0.137427,125.806,115.5625,165.624496,211.490005,136.509995
"2020-08-19 08:00:00",11758.283203,406.463776,62.004627,0.290246,0.129275,125.235336,115.707497,163.024002,209.699997,135.770004
"2020-08-20 08:00:00",11878.37207,416.439789,62.966755,0.292573,0.133642,133.455338,118.275002,164.8685,214.580002,136.850006
"2020-08-21 08:00:00",11592.489258,389.126343,59.379021,0.280682,0.12376,136.665329,124.370003,164.235992,213.020004,137.440002
"2020-08-22 08:00:00",11681.825195,395.835144,60.311157,0.286546,0.125276,NA,NA,NA,NA,NA
"2020-08-23 08:00:00",11664.847656,391.384491,60.62326,0.285386,0.121595,NA,NA,NA,NA,NA
"2020-08-24 08:00:00",11774.595703,408.144196,62.199425,0.289215,0.124488,134.279999,125.857498,165.373001,213.690002,138.509995
"2020-08-25 08:00:00",11366.134766,384.001038,58.580666,0.277927,0.113292,134.889328,124.824997,167.324493,216.470001,139.059998
"2020-08-26 08:00:00",11488.363281,386.466125,58.358173,0.277491,0.115285,143.544662,126.522499,172.092499,221.149994,138.389999
"2020-08-27 08:00:00",11323.397461,382.632629,56.041016,0.264511,0.106824,149.25,125.010002,170,226.580002,138.210007
"2020-08-28 08:00:00",11542.5,395.874664,57.354404,0.272046,0.109453,147.559998,124.807503,170.089996,228.910004,138.770004
"2020-08-29 08:00:00",11506.865234,399.921478,57.291733,0.274497,0.116712,NA,NA,NA,NA,NA
"2020-08-30 08:00:00",11711.505859,428.395721,62.725342,0.283034,0.117437,NA,NA,NA,NA,NA
"2020-08-31 08:00:00",11680.820313,435.079742,61.113796,0.281766,0.122688,166.106674,129.039993,172.548004,225.529999,138.330002
"2020-09-01 08:00:00",11970.478516,477.05191,62.88279,0.295696,0.125411,158.350006,134.179993,174.955994,227.270004,138.179993
"2020-09-02 08:00:00",11414.03418,440.040497,58.099648,0.276461,0.115613,149.123337,131.399994,176.572495,231.649994,140.509995
"2020-09-03 08:00:00",10245.296875,385.671936,47.774113,0.24658,0.096154,135.666672,120.879997,168.399994,217.300003,138.259995
"2020-09-04 08:00:00",10511.813477,388.24115,50.611977,0.255883,0.102445,139.440002,120.959999,164.731003,214.25,137.960007
"2020-09-05 08:00:00",10169.567383,335.260071,47.589336,0.237692,0.089923,NA,NA,NA,NA,NA
"2020-09-06 08:00:00",10280.351563,353.362274,48.053574,0.240731,0.09306,NA,NA,NA,NA,NA
"2020-09-07 08:00:00",10369.563477,352.673492,48.770107,0.242174,0.093333,NA,NA,NA,NA,NA
"2020-09-08 08:00:00",10131.516602,337.602112,47.383801,0.236753,0.091011,110.07,112.82,157.492004,202.660004,135.940002
"2020-09-09 08:00:00",10242.347656,351.110016,47.897697,0.239609,0.093349,122.09333,117.32,163.430496,211.289993,138.149994
"2020-09-10 08:00:00",10363.138672,368.101898,48.716854,0.24353,0.097156,123.779999,113.489998,158.755493,205.369995,136.699997
"2020-09-11 08:00:00",10400.915039,374.695587,49.089752,0.243292,0.096989,124.239998,112,155.811005,204.029999,138.139999
"2020-09-12 08:00:00",10442.170898,387.183105,50.817154,0.247814,0.097598,NA,NA,NA,NA,NA
"2020-09-13 08:00:00",10323.755859,365.570007,48.066036,0.241801,0.094856,NA,NA,NA,NA,NA
